time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,3.201612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,7.8326874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,12.531191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,17.297081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,22.130312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,27.030832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,31.99859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,37.033531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,42.135593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,47.30471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,52.540813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,57.84383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,63.213684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,68.650291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,74.153564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,79.723412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,85.359741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,91.062439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08398,0,0,0,96.831413,0,0,0,0,1.5,339.366515837104,76779.7547142769,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0884,0,0,0,102.66654,0,0,0,0,1.5,0,-76779.7547142769,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09282,0,0,0,108.5677,0,0,0,0,2.34765625,191.777432126697,43388.5593046825,-2.34765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09724,0,0,0,114.53478,0,0,0,0,2.81640625,106.052036199095,-19394.885956471,-2.81640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10166,0,0,0,120.56764,0,0,0,0,3.21875,91.0279977375566,-3399.10372432997,-3.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10608,0,0,0,126.66615,0,0,0,0,3.6640625,100.74943438914,2199.42005691939,-3.6640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1105,0,0,0,132.83017,0,0,0,0,4.140625,107.819570135747,1599.5782232141,-4.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11492,0,0,0,139.05954,0,0,0,0,4.59765625,103.400735294118,-999.736389508815,-4.59765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
